endNodeInternalId,startNodeInternalId
50,21011
612,21040
613,21040
612,21160
613,21160
612,21279
613,21279
50,21362
612,21362
613,21362
612,21397
49,21489
612,21489
1150,21489
182,21489
612,21523
50,21592
612,21592
612,21608
49,21608
182,21608
612,21723
1151,21741
612,21741
182,21741
612,21805
49,21805
181,21840
1300,21840
49,21840
182,21840
50,21964
49,21964
182,21964
612,22103
50,22196
612,22196
1301,22196
50,22263
1301,22297
612,22297
49,22297
49,22339
182,22339
215,22405
1300,22425
181,22425
612,22425
182,22425
49,22587
612,22587
49,22647
612,22647
181,22678
49,22678
612,22678
182,22678
50,22693
613,22693
612,22693
613,22950
50,22950
612,22950
50,22982
1151,22982
612,23057
613,23057
50,23086
612,23086
7088,23086
49,23163
612,23163
2479,23263
50,23263
181,23263
49,23263
1300,23325
50,23325
612,23325
1301,23325
612,23356
225,23384
50,23384
47,23384
225,23403
50,23403
47,23403
47,23433
225,23433
50,23433
1300,23471
225,23471
50,23471
47,23471
181,23657
1302,23657
182,23657
612,23748
613,23748
215,23804
181,23811
50,23811
613,23811
613,23849
50,23849
612,24044
612,24071
613,24071
612,24093
7088,24093
612,24122
182,24122
50,24122
49,24274
612,24274
182,24274
182,24325
1301,24347
181,24347
181,24529
1300,24529
1301,24529
1301,24684
181,24684
1300,24684
1301,24816
181,24816
1150,24816
181,25046
182,25046
1300,25125
181,25125
182,25125
1302,25125
1300,25473
181,25473
1301,25473
1150,25599
1151,25599
7088,25702
612,25702
1300,25702
612,25947
50,25947
49,25947
1300,26021
182,26021
1150,26021
1300,26065
612,26065
2500,26065
181,26209
49,26209
182,26209
225,26336
50,26336
47,26336
50,26603
612,26603
1300,26693
1301,26693
612,26693
1150,26789
1151,26789
612,26904
182,26927
1151,26927
50,27153
612,27153
612,27192
613,27192
612,27340
2298,27340
1302,27413
1300,27413
47,27413
1301,27413
181,27460
1300,27460
1302,27460
181,27584
1302,27584
1300,27727
181,27727
182,27727
1302,27727
1300,27873
181,27873
182,27873
1302,27873
7088,27905
613,27905
612,27905
181,27948
1300,27948
50,27948
1302,27948
181,28147
1300,28147
50,28147
1302,28147
1150,28456
612,28486
181,28486
7088,28486
182,28486
612,28721
612,28976
181,28976
2298,28976
1151,29082
182,29082
612,29082
182,29159
181,29159
612,29159
2479,29159
613,29159
50,29236
1301,29236
1151,29320
182,29320
1150,29320
50,29422
49,29422
612,29487
7088,29487
2298,29487
612,29526
49,29526
1150,29591
612,29591
1301,29591
612,29616
49,29616
182,29616
50,29699
613,29699
612,29699
1150,29824
1151,29824
612,29885
182,29885
1151,29885
50,29957
613,29957
612,29957
612,30002
49,30002
49,30127
612,30127
612,30242
1302,30242
1300,30242
49,30333
612,30333
1300,30354
7088,30354
2298,30354
181,30354
612,30543
1150,30602
182,30602
49,30602
181,30648
1300,30648
612,30648
1300,30727
1301,30727
1300,30885
1301,30885
1300,30984
1301,30984
1300,31107
1301,31107
47,31107
1300,31220
1301,31220
1151,31220
181,31289
2298,31289
7088,31289
613,31289
612,31289
181,31445
182,31445
1302,31445
182,31496
49,31496
612,31582
1302,31582
1151,31582
612,31769
612,31868
613,31868
50,31877
613,31877
1150,31979
182,31979
50,32059
612,32059
1300,32106
181,32106
182,32106
1300,32158
181,32158
182,32158
1300,32199
181,32199
182,32199
181,32222
1300,32222
182,32222
1300,32249
181,32249
182,32249
1300,32289
181,32289
182,32289
612,32329
50,32383
612,32383
613,32383
612,32423
613,32423
1300,32452
181,32452
182,32452
181,32476
612,32476
1151,32586
182,32586
612,32586
612,32679
7088,32679
1150,32729
50,32729
181,32796
182,32796
1302,32796
181,33037
49,33037
1302,33037
182,33037
1150,33105
181,33105
182,33105
49,33105
1150,33196
50,33196
1150,33218
1150,33247
50,33247
1301,33247
1301,33276
1150,33276
50,33276
1300,33318
1301,33318
1150,33363
1151,33363
182,33363
612,33440
49,33440
50,33576
47,33576
50,33702
47,33702
1300,33702
50,33815
612,33815
182,33924
1302,33924
1151,33924
613,33924
612,33997
7088,33997
612,34245
2479,34245
181,34286
50,34286
612,34286
182,34286
50,34501
612,34501
47,34501
1150,34607
1150,34654
182,34654
612,34683
2298,34683
181,34683
612,34773
49,34773
1151,34773
182,34773
613,34805
612,34805
1301,34805
612,34874
613,34874
50,34927
612,34927
2298,34927
1150,34943
49,35017
1151,35017
182,35017
225,35112
50,35112
1301,35112
1300,35112
47,35112
225,35356
47,35356
50,35356
1301,35356
1300,35356
1301,35579
1300,35579
225,35579
50,35579
47,35579
225,35611
47,35611
1300,35611
1301,35611
613,35611
50,35701
1150,35808
50,35808
47,35882
612,35882
50,35882
1302,35907
50,35907
49,35907
1300,35985
50,35985
49,35985
1302,35985
50,36060
49,36060
1302,36060
49,36202
612,36202
182,36202
612,36232
182,36232
7088,36232
612,36339
613,36339
2479,36339
50,36492
612,36492
613,36492
1301,36589
181,36589
182,36589
1150,36696
1151,36696
1302,36696
181,36728
1302,36728
1300,36728
612,36780
7088,36780
182,36780
1151,36969
1302,36969
182,36969
181,37069
1300,37069
1301,37069
1301,37139
1300,37139
181,37162
1300,37162
1301,37162
1302,37162
50,37186
47,37186
612,37257
2298,37257
7088,37257
613,37421
50,37421
49,37421
1301,37421
181,37508
7088,37508
2298,37508
1301,37657
225,37657
50,37657
49,37657
612,37703
7088,37703
2298,37703
50,37826
612,37826
613,37826
612,37874
613,37874
182,37942
